scenario,category,gewas,gewascode,affected_area_ha,affected_features,so_euro_per_ha_year,coefficient_source,annual_standard_output_euro,coefficient_mapped,coefficient_method
Connectivity focused,Grasland,"Grasland, blijvend ",265,388.705,575,1250.0,WUR SO-2020,485881.25,True,Direct crop match
Connectivity focused,Bouwland,"Mais, snij-",259,186.2526,179,1800.0,WUR SO-2020,335254.68,True,Direct crop match
Connectivity focused,Grasland,"Grasland, tijdelijk ",266,160.377,145,1250.0,WUR SO-2020,200471.25,True,Direct crop match
Connectivity focused,Bouwland,"Aardappelen, consumptie",2014,38.9961,6,8620.0,WUR SO-2020,336146.38,True,Direct crop match
Connectivity focused,Bouwland,"Aardappelen, zetmeel ",2017,38.9824,12,4030.0,WUR SO-2020,157099.07,True,Direct crop match
Connectivity focused,Bouwland,"Rogge, korrelgewas",7130,34.6314,21,1160.0,WUR SO-2020,40172.42,True,Direct crop match
Connectivity focused,Bouwland,"Mais, korrel-",316,16.4558,16,1680.0,WUR SO-2020,27645.74,True,Direct crop match
Connectivity focused,Bouwland,"Uien, gele zaai-",6660,14.4451,9,8100.0,WUR SO-2020,117005.31,True,Direct crop match
Connectivity focused,Bouwland,"Bieten, suiker-",256,11.086,4,3440.0,WUR SO-2020,38135.84,True,Direct crop match
Connectivity focused,Bouwland,"Aardappelen, poot NAK",2015,7.94,5,11700.0,WUR SO-2020,92898.0,True,Direct crop match
Connectivity focused,Grasland,"Grasland, natuurlijk. Met landbouwactiviteiten. ",331,7.4456,162,374.0,WUR SO-2020,2784.65,True,Direct crop match
Connectivity focused,Landschapselement,Sloot,343,7.0939,405,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Tarwe, winter-",233,6.9311,2,2390.0,WUR SO-2020,16565.33,False,Direct crop match
Connectivity focused,Bouwland,Luzerne ,258,6.5088,2,1050.0,WUR SO-2020,6834.24,True,Direct crop match
Connectivity focused,Bouwland,"Gerst, zomer-",236,6.1079,4,1530.0,WUR SO-2020,9345.09,False,Direct crop match
Connectivity focused,Bouwland,"Uien, rode zaai-",6664,6.0585,1,8100.0,WUR SO-2020,49073.85,True,Direct crop match
Connectivity focused,Landschapselement,Houtwal en houtsingel,2621,4.2131,131,0.0,Non-productive landscape element,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Lelie, overige bloemkwekerijgewassen",979,3.6816,2,36000.0,Proxy: lily production,132537.6,False,Related-crop proxy
Connectivity focused,Bouwland,"Lelie, bloembollen en -knollen",1002,3.2381,3,36000.0,WUR SO-2020,116571.6,True,Direct crop match
Connectivity focused,Natuurterrein,Natuurterreinen (incl. heide),335,3.1368,89,0.0,Non-productive land assumption,0.0,False,Zero-output class
Connectivity focused,Bouwland,"Granen, overig",2652,3.1134,4,1530.0,Proxy: summer barley,4763.5,False,Related-crop proxy
Connectivity focused,Bouwland,Zoete aardappelen ,6632,3.0004,1,8620.0,Proxy: consumption potatoes,25863.45,False,Related-crop proxy
Connectivity focused,Bouwland,Zonnekroon,656,2.7842,2,1800.0,Area-weighted median proxy for Bouwland,5011.56,False,Category-median proxy
Connectivity focused,Bouwland,"Gerst, winter-",235,2.7287,1,1950.0,WUR SO-2020,5320.96,False,Direct crop match
Connectivity focused,Bouwland,"Italiaans raaigras, groenbemesting, vanggewas",6755,2.7033,8,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Connectivity focused,Bouwland,"Uien, poot en plant, 1e jaars ",1932,2.5766,3,8100.0,Proxy: field onions,20870.46,False,Related-crop proxy
Connectivity focused,Bouwland,Miscanthus (olifantsgras) ,516,2.4257,5,1170.0,Proxy: energy maize,2838.07,False,Related-crop proxy
Connectivity focused,Bouwland,"Mais, corncob mix ",317,2.4234,1,1430.0,WUR SO-2020,3465.46,True,Direct crop match
Connectivity focused,Bouwland,Triticale ,314,2.0109,2,1280.0,WUR SO-2020,2573.95,True,Direct crop match
Connectivity focused,Bouwland,"Groene braak, spontane opkomst",6794,2.0052,34,0.0,WUR SO-2020: no production,0.0,True,Direct crop match
Connectivity focused,Bouwland,Soedangras/Sorghum,3519,1.7447,5,1800.0,Proxy: forage maize,3140.46,False,Related-crop proxy
Connectivity focused,Bouwland,Haver ,238,1.5764,1,1630.0,WUR SO-2020,2569.53,True,Direct crop match
Connectivity focused,Bouwland,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",311,1.1535,3,1800.0,Area-weighted median proxy for Bouwland,2076.3,False,Category-median proxy
Connectivity focused,Bouwland,"Bieten, voeder-",257,1.0915,2,1800.0,Proxy: forage maize,1964.7,False,Related-crop proxy
Connectivity focused,Grasland,Agrarisch natuurmengsel,1926,0.9613,25,4360.0,WUR SO-2020,4191.27,True,Direct crop match
Connectivity focused,Bouwland,Kerstbomen,796,0.8009,1,1800.0,Area-weighted median proxy for Bouwland,1441.62,False,Category-median proxy
